dir path;filename;child age;# participants;partipant type;# adults;eng;nlines_Raw;name;Nlines;years;months;days
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;30410;"3;04.10";3;"Mother;Grandmother;Toy;";2;eng;801;_Providence_Alex_030410-ortholines.txt;800;3;04;10
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;30424;"3;04.24";1;"Mother;";1;eng;632;_Providence_Alex_030424-ortholines.txt;600;3;04;24
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Alex;30516;"3;05.16";4;"Mother;Camera_Operator;Father;Toy;";3;eng;977;_Providence_Alex_030516-ortholines.txt;900;3;05;16
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;1104;"0;11.04";1;"Mother;";1;eng;637;_Providence_Ethan_001104-ortholines.txt;600;0;11;04
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;1121;"0;11.21";1;"Mother;";1;eng;989;_Providence_Ethan_001121-ortholines.txt;900;0;11;21
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10006;"1;00.06";2;"Mother;Camera_Operator;";2;eng;1024;_Providence_Ethan_010006-ortholines.txt;1000;1;00;06
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10021;"1;00.21";1;"Mother;";1;eng;830;_Providence_Ethan_010021-ortholines.txt;800;1;00;21
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10105;"1;01.05";2;"Mother;Toy;";1;eng;859;_Providence_Ethan_010105-ortholines.txt;800;1;01;05
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10117;"1;01.17";3;"Mother;Toy;Camera_Operator;";2;eng;928;_Providence_Ethan_010117-ortholines.txt;900;1;01;17
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10201;"1;02.01";2;"Mother;Camera_Operator;";2;eng;768;_Providence_Ethan_010201-ortholines.txt;700;1;02;01
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10218;"1;02.18";2;"Mother;Camera_Operator;";2;eng;975;_Providence_Ethan_010218-ortholines.txt;900;1;02;18
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10228;"1;02.28";2;"Mother;Camera_Operator;";2;eng;692;_Providence_Ethan_010228-ortholines.txt;600;1;02;28
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10315;"1;03.15";3;"Mother;Camera_Operator;Toy;";2;eng;927;_Providence_Ethan_010315-ortholines.txt;900;1;03;15
/Users/alejandrinacristia/Dropbox/SegCatSpa/Corpora/cha//eng/Providence/Ethan;10400;"1;04.";2;"Mother;Camera_Operator;";2;eng;681;_Providence_Ethan_010400-ortholines.txt;600;1;04;
